字数	word_count	id	character	original	translation	great_next	next	choices	choice_num	animation	story	item_selectable	father_image	god_image	sinner_image	null
24		1291	主角	打理面包坊太辛苦了，我没抽出足够的时间陪她在一起。	Managing a bakery is exhausting, and I couldn't spend enough time with her.											null
18		1292	主角	前面的那些判决，是不是也是艾莉丝的记忆？	Those sentences before, are they also Alice's memories?		1293									null
15		1293	神	没错，是她生活中发生的点点滴滴。	Yeah, those are all the little drops of her daily life.		1294									null
17		1294	主角	原来……她有这么多事情没告诉过我。	So... there are so many things she didn't tell me.		1295									null
17		1295	主角	是我不好……让她受了这么多不开心。	It's my fault... she suffered from plenty of unpleasantness.		1296									null
12		1296	主角	还不能和最亲的亲人倾诉。	And couldn't talk to her closest family.											null
12		1297	神	那么，请审判官做出判断吧。	Then, let the judge make his decision.			2038/	1							null
5		1298	主角	我有罪……	I am guilty... 		1299									null
12		1299	主角	只是……面包之神大人……	It's just that... the great God of Bread... 		1300									null
14		1300	主角	我想今后开始好好照顾艾莉丝。	From now on, I want to take good care of Alice. 		1301									null
15		1301	主角	我想和她分享生活中的喜怒哀乐。	I want to share every kind of emotion in life with her,  no matter whether that would be pleasure or anger, sorrow or joy.		1302									null
11		1302	主角	我想参与她的成长过程。	I want to take part in her growth.		1303									null
18		1303	主角	我不想再让她下课后总是一个人回家了。	And I don't want her to come home alone after school again.		1304									null
19		1304	主角	我想和她每天都能吃上一顿热腾腾的餐饭。	I want to enjoy a hot meal with her every day.		1305									null
9		1305	主角	面包之神，拜托你了。	Please, the God of Bread.		1306									null
15		1306	主角	希望你能再给我一次赎罪的机会。	Please give me one more chance to atone for my sins.		1307			bread_jump						null
8		1307	神	你真的是太迟钝了！	You are such a numbskull!		1308									null
7		1308	神	现在才开始后悔！	Only start to regret it now!		1309									null
8		1309	主角	你是……艾莉丝吗？	Are you... Alice?		1310									null
23		1310	神	我不是你的女儿，但我是她的潜意识化成的梦境主宰。	I am not your daughter, but the dream master that transformed from her subconscious.	1320		2039/2040	2							null
16		1311	主角	那些回忆……是她想要展示给我看吗？	Those memories... are the ones she wants to show me?		1312									null
22		1312	神	不是这样的，她可能已经忘记了那些不开心的瞬间。	Not like that, she might have already forgotten those unpleasant moments.		1313									null
11		1313	神	但是我帮她保存了下来。	But I kept them for her.		1314									null
18		1314	神	她太懂事了，知道你辛苦，所以没有告诉你。	She is just too sensible to talk about those sorts of things because she knows you work so hard.		1315									null
11		1315	神	所以只能由我来代劳了。	That's why I have to take over this job.											null
15		1316	主角	所以说审判的结果也不会影响到谁？	So those sentences won't affect anybody?		1317									null
11		1317	神	没错。毕竟这里是梦境。	Yes. After all, this is only a dream.		1318									null
22		1318	神	我只是想让你去多了解一下她经历过的那些事情。	I just want you to learn more about what she has been through.		1319									null
18		1319	神	让不靠谱的爸爸更多了解一些他的女儿。	Let the unreliable father learn more about his daughter.											null
16		1320	神	那么，你应该明白接下来要做什么了吧？	So, I presume you know what to do next?		1321									null
10		1321	主角	谢谢你……面包之神。	Thank you... the God of Bread.		1322									null
4		1322	神	不客气。	No problem.		1323									null
10		1323	神	因为，我已经说过了……	As I said before... 		1324									null
11		1324	神	我对你有百分之百的信任！	I have 100% confidence in you！		1325									null
2		1326	主角	看起来确实是一家杂货铺……	It does seem to be a corner store...		1188									null
